Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light_1,0,1.7325838031547545,13.420536431054147,37.888636363636365,41.349999999999994,60
F53B,Light_1,0.1,1.4816073263048712,11.47648100079533,41.49636363636364,45,60
F53B,Light_1,1,1.3277493666810465,10.284702370186276,45.92241379310345,47.25,60
F53B,Dark_1,0,0.6283300557858356,4.8670236839602365,41.63666666666666,41.7,60
F53B,Dark_1,0.1,0.5966085395502237,4.621309875766292,41.59322033898305,42.5,60
F53B,Dark_1,1,0.47384865484584243,3.6704158976814685,41.80909090909091,41.400000000000006,60
F53B,Light_2,0,2.108004498299899,16.328532631291658,38.78367346938776,42.5,60
F53B,Light_2,0.1,1.5233259157430454,11.799631805037956,43.656666666666666,46.7,60
F53B,Light_2,1,1.8134425896548327,14.046865898072836,40.92857142857143,45.9,60
F53B,Dark_2,0,0.838038972241993,6.491421965932037,40.854838709677416,40.8,60
F53B,Dark_2,0.1,0.5545644155721654,4.295637491820491,42.03050847457627,42.5,60
F53B,Dark_2,1,0.6084934755314224,4.713370194018139,42.24545454545454,42.7,60
F53B,Light_3,0,1.6454359883741252,12.745492360446656,39.476,40.900000000000006,60
F53B,Light_3,0.1,1.5020189672522724,11.634588891711429,46.46610169491525,48.7,60
F53B,Light_3,1,1.8973542807782784,14.696843062619248,36.62931034482759,36.5,60
F53B,Dark_3,0,1.1863509579505163,9.18943500579913,39.040625,41.65,60
F53B,Dark_3,0.1,0.5383182385671379,4.169795145860473,42.95892857142857,42.45,60
F53B,Dark_3,1,0.8019550325913174,6.211916971266797,40.736363636363635,41.2,60
OBS,Light_1,0,1.7325838031547545,13.420536431054147,37.888636363636365,41.349999999999994,60
OBS,Light_1,0.1,1.1597344491162809,8.983264414900777,45.983333333333334,47.6,60
OBS,Light_1,1,1.3286163194672334,10.291417757591976,43.89272727272727,45.1,60
OBS,Dark_1,0,0.6283300557858356,4.8670236839602365,41.63666666666666,41.7,60
OBS,Dark_1,0.1,0.5780382760575381,4.477465233282581,41.79,41.650000000000006,60
OBS,Dark_1,1,0.6935822235416709,5.372464802004802,39.46341463414634,40.4,60
OBS,Light_2,0,2.108004498299899,16.328532631291658,38.78367346938776,42.5,60
OBS,Light_2,0.1,1.62895845549158,12.61785793956529,43.95,47.6,60
OBS,Light_2,1,1.3593048169456086,10.529129836899727,43.33148148148148,45.05,60
OBS,Dark_2,0,0.838038972241993,6.491421965932037,40.854838709677416,40.8,60
OBS,Dark_2,0.1,0.5394712135111162,4.178726051373717,41.81666666666667,42.599999999999994,60
OBS,Dark_2,1,0.460131873992027,3.5641661700606604,41.81463414634146,42,60
OBS,Light_3,0,1.6454359883741252,12.745492360446656,39.476,40.900000000000006,60
OBS,Light_3,0.1,1.3110385146201182,10.155260666720455,45.718333333333334,48.05,60
OBS,Light_3,1,1.8760733099600506,14.532001371479003,40.654716981132076,46,60
OBS,Dark_3,0,1.1863509579505163,9.18943500579913,39.040625,41.65,60
OBS,Dark_3,0.1,0.78459581333198,6.077453037077644,41.63559322033898,42.9,60
OBS,Dark_3,1,0.5712874969634777,4.425173923272139,40.2304347826087,39.800000000000004,60
PFOS,Light_1,0,1.7325838031547545,13.420536431054147,37.888636363636365,41.349999999999994,60
PFOS,Light_1,0.1,1.9401322654775806,15.028199907268673,43.4,49.9,60
PFOS,Light_1,1,1.8246840012263628,14.133941497681635,41.348333333333336,45.85,60
PFOS,Dark_1,0,0.6283300557858356,4.8670236839602365,41.63666666666666,41.7,60
PFOS,Dark_1,0.1,0.7558865738135949,5.855072224003673,42.20204081632653,41.9,60
PFOS,Dark_1,1,0.5353116557092977,4.146506255185657,43.07333333333333,42.5,60
PFOS,Light_2,0,2.108004498299899,16.328532631291658,38.78367346938776,42.5,60
PFOS,Light_2,0.1,2.483161910124957,19.234489447701115,31.603921568627452,37.9,60
PFOS,Light_2,1,1.8935457560626914,14.667342357025072,43.9875,49.5,60
PFOS,Dark_2,0,0.838038972241993,6.491421965932037,40.854838709677416,40.8,60
PFOS,Dark_2,0.1,1.0804693550255469,8.369279636202824,41.55769230769231,43.2,60
PFOS,Dark_2,1,0.5716291104594572,4.4278200500336755,43.34833333333333,42.9,60
PFOS,Light_3,0,1.6454359883741252,12.745492360446656,39.476,40.900000000000006,60
PFOS,Light_3,0.1,1.879219299567693,14.556370102194485,39.803703703703704,41.8,60
PFOS,Light_3,1,2.1363506303875885,16.548100826301695,36.83125,41.1,60
PFOS,Dark_3,0,1.1863509579505163,9.18943500579913,39.040625,41.65,60
PFOS,Dark_3,0.1,0.7999807455572986,6.196624209660021,41.58125,41.55,60
PFOS,Dark_3,1,0.624470201516016,4.837125381348639,42.68421052631579,42.1,60
