Chemical,Dose,se,sd,mean,median,n
F53B,0,0.6284282074035186,11.923586887750847,39.43305084745763,41.400000000000006,360
F53B,0.1,0.46896668985482226,8.898017320146105,43.05373563218391,43.8,360
F53B,1,0.5439927586985815,10.321536888755354,41.375370919881306,43,360
OBS,0,0.6284282074035186,11.923586887750847,39.43305084745763,41.400000000000006,360
OBS,0.1,0.4476169190474441,8.492933900502782,43.4874651810585,44.5,360
OBS,1,0.49885744285627004,9.46515448291864,41.695517241379314,42.75,360
PFOS,0,0.6284282074035186,11.923586887750847,39.43305084745763,41.400000000000006,360
PFOS,0.1,0.6952722876110053,13.19186413707868,40.031168831168834,42.95,360
PFOS,1,0.5837124333910083,11.075164728449453,42.02463343108504,43.900000000000006,360
