Chemical,Dose,se,sd,mean,median,n
F53B,0,0.47967962863759284,9.101281042071145,14.074194915254237,15.778333333333334,360
F53B,0.1,0.3837007733760476,7.280210303018432,11.319875478927203,12.785,360
F53B,1,0.47864154939020065,9.081584873190069,12.461266073194857,12.693333333333333,360
OBS,0,0.47967962863759284,9.101281042071145,14.074194915254237,15.778333333333334,360
OBS,0.1,0.3797166520345457,7.204616915536643,14.891053853296194,16.029999999999998,360
OBS,1,0.39951122971808906,7.580192620343463,12.233764367816091,13.609166666666667,360
PFOS,0,0.47967962863759284,9.101281042071145,14.074194915254237,15.778333333333334,360
PFOS,0.1,0.4095674216719663,7.77099544731613,11.09461038961039,11.0275,360
PFOS,1,0.41086011468447936,7.795522572725685,10.783553274682307,11.775,360
