Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,2365.6202175697395,1182.8101087848697,17.587646190527142,1.18e-06,TRUE
PFOS,Light_1,Residuals,155,10424.110473657407,67.2523256364994,NA, NA,NA
PFOS,Dark_1,Dose,2,346.2663098667591,173.13315493337956,5.808200862513378,9.76e-03,TRUE
PFOS,Dark_1,Residuals,136,4053.9419397335596,29.80839661568794,NA, NA,NA
PFOS,Light_2,Dose,2,263.67986246234614,131.83993123117307,2.0000908401230975,1.92e-01,FALSE
PFOS,Light_2,Residuals,153,10085.296664389507,65.91697166267652,NA, NA,NA
PFOS,Dark_2,Dose,2,36.12705933199873,18.063529665999365,0.49659570497590394,6.16e-01,FALSE
PFOS,Dark_2,Residuals,140,5092.4607842965925,36.3747198878328,NA, NA,NA
PFOS,Light_3,Dose,2,2218.1003716588957,1109.0501858294479,18.154893249324054,1.18e-06,TRUE
PFOS,Light_3,Residuals,149,9102.145378615227,61.08822401755186,NA, NA,NA
PFOS,Dark_3,Dose,2,24.373347753137782,12.186673876568891,0.4860662984164078,6.16e-01,FALSE
PFOS,Dark_3,Residuals,134,3359.6534151422393,25.07204041150925,NA, NA,NA
OBS,Light_1,Dose,2,125.15052679459669,62.57526339729834,0.7317873236412846,5.43e-01,FALSE
OBS,Light_1,Residuals,156,13339.58757498737,85.51017676273955,NA, NA,NA
OBS,Dark_1,Dose,2,193.27537761801278,96.63768880900639,3.5685634542870943,5.59e-02,FALSE
OBS,Dark_1,Residuals,128,3466.2755268349138,27.080277553397764,NA, NA,NA
OBS,Light_2,Dose,2,1072.4876052848858,536.2438026424429,7.462150414478329,2.39e-03,TRUE
OBS,Light_2,Residuals,160,11497.893188580143,71.86183242862589,NA, NA,NA
OBS,Dark_2,Dose,2,123.74702293845871,61.873511469229356,3.0746587265300267,8.12e-02,FALSE
OBS,Dark_2,Residuals,129,2595.9573694016085,20.123700537996964,NA, NA,NA
OBS,Light_3,Dose,2,595.3047227196992,297.6523613598496,3.813157574015154,4.82e-02,TRUE
OBS,Light_3,Residuals,160,12489.48591637369,78.05928697733556,NA, NA,NA
OBS,Dark_3,Dose,2,56.603651806920055,28.301825903460028,1.2405890343165265,3.51e-01,FALSE
OBS,Dark_3,Residuals,134,3056.9709760114097,22.813216238891115,NA, NA,NA
F53B,Light_1,Dose,2,2043.6255856159528,1021.8127928079764,13.205948657401576,2.29e-05,TRUE
F53B,Light_1,Residuals,154,11915.779333598486,77.37519047791224,NA, NA,NA
F53B,Dark_1,Dose,2,482.3489197791181,241.17445988955905,8.92501924458018,8.07e-04,TRUE
F53B,Dark_1,Residuals,141,3810.1429153867775,27.022290180048067,NA, NA,NA
F53B,Light_2,Dose,2,261.9840645922242,130.9920322961121,1.9150893826511914,1.94e-01,FALSE
F53B,Light_2,Residuals,162,11080.79310773101,68.3999574551297,NA, NA,NA
F53B,Dark_2,Dose,2,199.93552882324263,99.96776441162132,4.750671433332819,2.27e-02,TRUE
F53B,Dark_2,Residuals,142,2988.0876304871017,21.04287063723311,NA, NA,NA
F53B,Light_3,Dose,2,1742.2246649414358,871.1123324707179,13.362179390095394,2.29e-05,TRUE
F53B,Light_3,Residuals,164,10691.551007846321,65.19238419418488,NA, NA,NA
F53B,Dark_3,Dose,2,111.92746763370316,55.96373381685158,2.9148952363486784,8.63e-02,FALSE
F53B,Dark_3,Residuals,140,2687.8917076188227,19.19922648299159,NA, NA,NA
PFOS,Light,Dose,2,3639.4266175592256,1819.7133087796128,26.90469943090184,5.30e-11,TRUE
PFOS,Light,Residuals,463,31315.245283776036,67.63551897143853,NA, NA,NA
PFOS,Dark,Dose,2,139.8197447693527,69.90987238467635,2.2660168611829943,1.05e-01,FALSE
PFOS,Dark,Residuals,416,12834.197048667404,30.851435213142796,NA, NA,NA
OBS,Light,Dose,2,1079.49337912389,539.746689561945,6.585259449239731,2.26e-03,TRUE
OBS,Light,Residuals,482,39506.09788030337,81.96285867282857,NA, NA,NA
OBS,Dark,Dose,2,119.92561287979565,59.962806439897825,2.5306857464998567,9.71e-02,FALSE
OBS,Dark,Residuals,397,9406.633830203533,23.69429176373686,NA, NA,NA
F53B,Light,Dose,2,3254.557176450332,1627.278588225166,22.66248739558322,1.17e-09,TRUE
F53B,Light,Residuals,486,34897.201709268855,71.80494178861905,NA, NA,NA
F53B,Dark,Dose,2,628.5919238581828,314.2959619290914,13.59984793647637,3.75e-06,TRUE
F53B,Dark,Residuals,429,9914.299652273505,23.110255599705138,NA, NA,NA
PFOS,NA,Dose,2,1725.3115869462856,862.6557934731428,12.969190147623795,8.43e-06,TRUE
PFOS,NA,Residuals,882,58666.91760878505,66.5157796017971,NA, NA,NA
OBS,NA,Dose,2,1156.488075120092,578.244037560046,9.331618770041295,1.46e-04,TRUE
OBS,NA,Residuals,882,54654.101683335655,61.966101681786455,NA, NA,NA
F53B,NA,Dose,2,1067.0306415379266,533.5153207689633,7.469491309930546,6.06e-04,TRUE
F53B,NA,Residuals,918,65568.9984958912,71.42592428746318,NA, NA,NA
