Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,-5.4374537037037,-9.14185480517341,-1.73305260223399,0.006230582200102841,0.9984277460726186,7.73378806586132,9.732962962962963,9.75,60
PFOS,Light_1,1,-9.65230555555556,-13.2725916417892,-6.03201946932189,4.5530784342773245e-7,0.8170926753770615,6.329172648086845,5.518111111111111,3.394166666666667,60
PFOS,Dark_1,0.1,-4.22782879818594,-7.02998810120926,-1.42566949516262,0.006125397432836133,0.6399907619264195,4.957347125335237,14.914115646258503,15.413333333333332,60
PFOS,Dark_1,1,-3.25533333333333,-5.95818956244537,-0.552477104221297,0.03126813916125282,0.7838223209985696,6.071461591226209,15.886611111111112,15.876666666666667,60
PFOS,Light_2,0.1,-1.62722088835534,-5.24923686724986,1.99479509053917,0.7489491797576261,1.1319809216946237,8.7682865158956,7.422745098039216,3.8699999999999997,60
PFOS,Light_2,1,-3.17553146258503,-6.71742975477877,0.366366829608699,0.14626689536767046,0.6793165054725104,5.261963024997705,5.874434523809524,5.159166666666667,60
PFOS,Dark_2,0.1,0.42274193548387,-2.6063305939012,3.45181446486894,0.9981396219452223,0.8140711678816417,6.305768151666441,16.165,16.8525,60
PFOS,Dark_2,1,-0.703508064516129,-3.65619477235397,2.24917864332171,0.9613632170258646,0.805620751590915,6.240311508541432,15.03875,14.960833333333333,60
PFOS,Light_3,0.1,-8.65798641975309,-12.0830314738586,-5.2329413656476,9.739861157598284e-7,0.5826370255051859,4.513086993330822,4.319413580246914,2.8158333333333334,60
PFOS,Light_3,1,-7.37337222222222,-10.8998318653202,-3.84691257912429,5.3416699226538356e-5,0.9982160682039704,7.732148416141249,5.604027777777778,2.8225000000000002,60
PFOS,Dark_3,0.1,-0.849114583333334,-3.38424479323263,1.68601562656596,0.8777924442711736,0.6725891592257185,5.209853225041713,14.757916666666667,14.243333333333332,60
PFOS,Dark_3,1,0.0529979897660819,-2.40076985650373,2.50676583603589,0.9981396219452223,0.5946311916802667,4.605993405026286,15.660029239766082,15.254999999999999,60
PFOS,Light_1,0,NA,NA,NA,1,1.3768088862078234,10.664715774386565,15.170416666666666,17.660833333333333,60
PFOS,Dark_1,0,NA,NA,NA,1,0.6340128943501179,4.911042762197538,19.141944444444444,19.0675,60
PFOS,Light_2,0,NA,NA,NA,1,1.2799604248633731,9.914530818600829,9.049965986394557,5.295,60
PFOS,Dark_2,0,NA,NA,NA,1,0.6527781218637086,5.056397589493399,15.742258064516129,16.495,60
PFOS,Light_3,0,NA,NA,NA,1,1.3315501945324235,10.314143456126645,12.9774,12.175833333333333,60
PFOS,Dark_3,0,NA,NA,NA,1,0.6940231712911704,5.375880368585521,15.60703125,16.516666666666666,60
OBS,Light_1,0.1,-1.86391666666667,-5.94530103921104,2.2174677058777,0.644748372212575,1.0255338455618952,7.9437510096665385,13.3065,14.43,60
OBS,Light_1,1,-2.08893181818182,-6.24806383147559,2.07020019511196,0.6309195891431649,1.2077227013013203,9.354979817953296,13.081484848484848,13.701666666666666,60
OBS,Dark_1,0.1,-2.62819444444444,-5.21081828713819,-0.0455706017506943,0.17772888889484872,0.7361796986399308,5.702423425296894,16.51375,16.988333333333337,60
