Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,2.5378112127605856,8.791235921038648,24.519861111111112,25.3725,12
F53B,0,2,3.334358128454093,11.550555378225523,20.1775,25.585,12
F53B,0,3,3.5089812164700005,12.155467499461771,21.259305555555557,26.264166666666668,12
F53B,0,4,3.592124220652248,12.4434833145369,20.05986111111111,24.4675,12
F53B,0,5,4.304152462158888,14.910021495963747,22.52136363636364,27.87,12
F53B,0,6,4.9810308600226465,17.254797047255447,20.57185185185185,18.508333333333333,12
F53B,0,7,3.6816111035062242,12.753474969965001,17.510833333333334,15.610833333333336,12
F53B,0,8,3.623331957647359,12.551590086666458,15.546000000000001,10.190833333333334,12
F53B,0,9,3.4925581068365394,12.098576178854914,15.781333333333333,12.040833333333332,12
F53B,0,10,3.4357992915942197,11.901957875300688,15.924499999999998,12.740833333333335,12
F53B,0,11,3.6438017058028995,12.622499374313529,18.758030303030303,23.19666666666667,12
F53B,0,12,4.283740780658243,14.839313357109683,22.10925925925926,22.73166666666667,12
F53B,0,13,4.2700350313723225,14.791835248871655,21.001875000000002,19.733333333333334,12
F53B,0,14,4.337746054786229,15.0263931144424,20.646458333333335,20.034999999999997,12
F53B,0,15,3.9016104804079204,13.515575166819467,18.164285714285715,15.261666666666667,12
F53B,0,16,3.746541027162238,12.97839882337257,20.376944444444444,21.646666666666665,12
F53B,0,17,3.7074770879972667,12.84307736861755,20.482222222222223,21.4625,12
F53B,0,18,4.413168918975049,15.287665580097205,20.510666666666665,17.28666666666667,12
F53B,0,19,3.0765459983978687,10.657467962095652,21.118541666666665,21.630833333333335,12
F53B,0,20,2.927413967185606,10.140859451904479,19.559285714285714,19.918333333333333,12
F53B,0,21,1.6540429972895856,5.729773018418146,30.951249999999998,30.693333333333335,12
F53B,0,22,1.230267727186061,4.2617724207970875,26.038333333333334,24.715,12
F53B,0,23,1.251776929248837,4.336282482403075,27.38642857142857,28.37833333333333,12
F53B,0,24,1.9500159944851216,6.755053556040364,27.73357142857143,28.858333333333334,12
F53B,0,25,1.601719944029083,5.5485206451095,27.297619047619047,26.885,12
F53B,0,26,2.3322003918393186,8.078979144195488,25.50962962962963,27.725,12
F53B,0,27,3.0154591202515566,10.445856808845289,29.264761904761905,30.795,12
F53B,0,28,3.568050019655126,12.360087835979618,22.82090909090909,23.381666666666668,12
F53B,0,29,4.37612221057089,15.159332017678821,20.485,24.755,12
F53B,0,30,4.070552284330826,14.10080674265309,18.851666666666667,18.81666666666667,12
F53B,0,31,1.565977638571564,5.4247056670453615,24.31138888888889,22.820833333333333,12
F53B,0,32,0.5451370382134189,1.888410094546516,24.408055555555556,23.7875,12
F53B,0,33,1.9695595170895512,6.82275430425985,25.087777777777777,26.121666666666666,12
F53B,0,34,1.275574561898662,4.418719900101789,24.348333333333333,24.270833333333336,12
F53B,0,35,1.5895660915317247,5.506418465043255,25.13261904761905,24.773333333333333,12
F53B,0,36,2.157337458909978,7.4732361758072345,19.708787878787877,20.15666666666667,12
F53B,0,37,3.505233260555615,12.142484199325283,18.723518518518517,17.053333333333335,12
F53B,0,38,3.570961199577628,12.370172459051114,18.294444444444444,17.766666666666666,12
F53B,0,39,3.534205357684817,12.24284648778448,16.817037037037036,19.615,12
F53B,0,40,3.522522092156505,12.202374468797771,18.67530303030303,20.236666666666665,12
F53B,0,41,3.2319327352602674,11.195743408231673,20.91861111111111,24.8525,12
F53B,0,42,2.3409037260489014,8.109128378287986,23.581333333333333,25.936666666666664,12
F53B,0,43,0.940107558858146,3.256628113043715,25.185,24.273333333333333,12
F53B,0,44,1.3161574010097745,4.559302978613469,24.691666666666666,25.16583333333333,12
F53B,0,45,0.6849440623924715,2.3727158328127755,25.575714285714287,25.155000000000005,12
F53B,0,46,3.0351150833244485,10.513947062273182,24.27121212121212,23.761666666666663,12
F53B,0,47,3.53444357140238,12.243671684308238,22.30090909090909,23.183333333333334,12
F53B,0,48,4.008521618963986,13.885926214567748,24.100185185185186,25.538333333333334,12
F53B,0,49,3.8755075990053958,13.425152133193231,21.752592592592595,27.29666666666667,12
