Chemical,Dose,se,sd,mean,median,n
F53B,0,0.5276491200196832,10.01143814787449,22.95303672316384,24.254166666666666,360
F53B,0.1,0.38136741797840423,7.235937997135227,21.307969348659004,22.29333333333333,360
F53B,1,0.48919777243349316,9.28187512302342,22.05955984174085,23.244999999999997,360
OBS,0,0.5276491200196832,10.01143814787449,22.95303672316384,24.254166666666666,360
OBS,0.1,0.36903119974897247,7.001874713227863,24.488440111420612,25.613333333333337,360
OBS,1,0.4063651546960264,7.710236703396672,21.702540229885056,23.16166666666667,360
PFOS,0,0.5276491200196832,10.01143814787449,22.95303672316384,24.254166666666666,360
PFOS,0.1,0.4901613791478496,9.300158274939406,20.577748917748917,21.669166666666666,360
PFOS,1,0.44654361656338654,8.472569417695151,20.75031769305963,22.259999999999998,360
