Chemical,Dose,se,sd,mean,median,n
F53B,0,31.658947201180993,600.6862888724694,1377.1822033898304,1455.25,360
F53B,0.1,22.882045078704255,434.1562798281136,1278.4781609195402,1337.6,360
F53B,1,29.35186634600959,556.9125073814052,1323.573590504451,1394.6999999999998,360
OBS,0,31.658947201180993,600.6862888724694,1377.1822033898304,1455.25,360
OBS,0.1,22.141871984938348,420.1124827936718,1469.3064066852369,1536.8000000000002,360
OBS,1,24.381909281761583,462.6142022038003,1302.1524137931035,1389.6999999999998,360
PFOS,0,31.658947201180993,600.6862888724694,1377.1822033898304,1455.25,360
PFOS,0.1,29.409682748870974,558.0094964963644,1234.664935064935,1300.15,360
PFOS,1,26.792616993803193,508.3541650617091,1245.0190615835777,1335.6,360
