Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,-187.945033670034,-453.536994963761,77.6469276236934,0.3948921730024021,70.61096903495215,546.9502142638746,1203.848148148148,1270.15,60
PFOS,Light_1,1,-442.841515151515,-702.402738612363,-183.280291690667,0.002482278496820145,63.943602865419976,495.3050179885449,948.9516666666667,939.55,60
PFOS,Dark_1,0.1,-192.484897959184,-347.680175721187,-37.2896201971802,0.037592052390797104,34.12672259197497,264.3444565187189,1469.3551020408163,1513.8,60
PFOS,Dark_1,1,-145.421666666667,-295.117125727551,4.27379239421788,0.13921521703556028,41.84844876210738,324.15669024051255,1516.4183333333333,1534.3000000000002,60
PFOS,Light_2,0.1,-197.366426570628,-490.279763267733,95.5469101264767,0.3948921730024021,103.53291763422979,801.9625315632724,912.9274509803921,767,60
PFOS,Light_2,1,-62.790306122449,-349.224505489204,223.643893244306,0.9931766413560007,63.49863720629189,491.8583288136703,1047.5035714285714,1111.75,60
PFOS,Dark_2,0.1,38.011042183623,-140.779965386852,216.802049754098,0.9931766413560007,53.02264596062385,410.7116495546963,1518.3884615384616,1536.85,60
PFOS,Dark_2,1,-12.2207526881718,-186.503087103402,162.061581727058,0.9931766413560007,43.456510071659984,336.612679583668,1468.1566666666668,1455.3,60
PFOS,Light_3,0.1,-457.352666666667,-722.275253800919,-192.430079532414,0.002482278496820145,57.513465746191685,445.4973900353423,889.8333333333334,928.3499999999999,60
PFOS,Light_3,1,-437.858916666667,-710.625784639453,-165.09204869388,0.003590960137101362,82.16438943830894,636.4426238917423,909.3270833333333,948.9000000000001,60
PFOS,Dark_3,0.1,6.37187500000005,-147.411862699742,160.155612699742,0.9931766413560007,38.57633421402096,298.8109999372691,1452.16875,1467.15,60
PFOS,Dark_3,1,67.0452302631579,-81.8029785480996,215.893439074415,0.7272524569522114,33.68664114086448,260.9356002564675,1512.842105263158,1499.1,60
PFOS,Light_1,0,NA,NA,NA,1,94.93823244524485,735.388386357604,1391.793181818182,1647.0500000000002,60
PFOS,Dark_1,0,NA,NA,NA,1,40.69347890371818,315.21033218668674,1661.84,1687.75,60
PFOS,Light_2,0,NA,NA,NA,1,84.35779431189391,653.4326649855118,1110.2938775510204,1176.8999999999999,60
PFOS,Dark_2,0,NA,NA,NA,1,36.92197143371371,285.99636094383834,1480.3774193548386,1475.8,60
PFOS,Light_3,0,NA,NA,NA,1,92.02899347229551,712.8535181728632,1347.186,1437.3,60
PFOS,Dark_3,0,NA,NA,NA,1,48.378605251376854,374.7390649026505,1445.796875,1518.1000000000001,60
OBS,Light_1,0.1,44.536818181818,-214.236731458044,303.31036782168,0.9986453633536048,61.95661628212069,479.9138860960335,1436.33,1530.7,60
OBS,Light_1,1,4.96863636363628,-258.734376207526,268.671648934799,0.9986453633536048,71.96970708289845,557.4749539269834,1396.7618181818182,1462.1,60
OBS,Dark_1,0.1,-142.091666666667,-294.601744485556,10.4184111522227,0.21312944990624216,40.13250352190815,310.86503556392154,1519.7483333333332,1557.2,60
OBS,Dark_1,1,-219.952195121951,-383.818688092166,-56.0857021517362,0.07760628355653587,38.21311862383584,295.9975440735294,1441.8878048780489,1460.9,60
OBS,Light_2,0.1,258.50112244898,18.4396439257272,498.562600972232,0.19592213538697378,71.95953564860402,557.3961663357246,1368.795,1452.3000000000002,60
OBS,Light_2,1,-66.1716553287981,-312.155500042709,179.812189385113,0.9986453633536048,59.63978689007449,461.9678027932359,1044.1222222222223,1033,60
OBS,Dark_2,0.1,91.899247311828,-27.0822229237065,210.880717547363,0.35949200317835645,33.459019403931926,259.1724498637183,1572.2766666666666,1573.0500000000002,60
OBS,Dark_2,1,-12.253029110936,-140.282095933253,115.776037711381,0.9986453633536048,21.916063321319022,169.76109651579156,1468.1243902439026,1468.7,60
OBS,Light_3,0.1,34.0456666666666,-219.714614376688,287.805947710021,0.9986453633536048,63.45455322363933,491.51685575237457,1381.2316666666666,1430.8,60
OBS,Light_3,1,-248.852037735849,-510.118465191678,12.4143897199798,0.21312944990624216,74.77007739728593,579.166529108656,1098.3339622641508,1158.4,60
OBS,Dark_3,0.1,92.8149894067797,-52.1256637715213,237.755642585081,0.5118833925957804,38.424930550924444,297.6382322058139,1538.6118644067797,1548.1,60
OBS,Dark_3,1,8.49660326086951,-143.47551233778,160.468718859519,0.9986453633536048,29.642923757702984,229.61310009295968,1454.2934782608695,1449.4499999999998,60
OBS,Light_1,0,NA,NA,NA,1,94.93823244524485,735.388386357604,1391.793181818182,1647.0500000000002,60
OBS,Dark_1,0,NA,NA,NA,1,40.69347890371818,315.21033218668674,1661.84,1687.75,60
OBS,Light_2,0,NA,NA,NA,1,84.35779431189391,653.4326649855118,1110.2938775510204,1176.8999999999999,60
OBS,Dark_2,0,NA,NA,NA,1,36.92197143371371,285.99636094383834,1480.3774193548386,1475.8,60
OBS,Light_3,0,NA,NA,NA,1,92.02899347229551,712.8535181728632,1347.186,1437.3,60
OBS,Dark_3,0,NA,NA,NA,1,48.378605251376854,374.7390649026505,1445.796875,1518.1000000000001,60
F53B,Light_1,0.1,-405.375,-668.47313149395,-142.27686850605,0.009079037420783864,61.5553602128323,476.80576994819626,986.4181818181818,868.7,60
F53B,Light_1,1,-184.255250783699,-444.311683156939,75.8011815895402,0.34044624457700623,70.76001629044809,548.104729340542,1207.5379310344827,1211.85,60
F53B,Dark_1,0.1,-175.809491525424,-332.985893082731,-18.6330899681161,0.10411921132094948,39.30966489725773,304.491354984147,1486.0305084745762,1492.6,60
F53B,Dark_1,1,51.5600000000002,-107.531311591891,210.651311591891,0.8036936035959217,42.723122154948676,330.9318812082027,1713.4,1714.5,60
F53B,Light_2,0.1,-8.13054421768697,-263.361442504519,247.100354069145,0.9968328306570972,70.82131609459823,548.5795555817405,1102.1633333333334,1063.2,60
F53B,Light_2,1,-120.49387755102,-379.790142645711,138.802387543671,0.7127466298773864,76.2278682038865,590.4585281410926,989.8000000000001,862,60
