animal,Treatment,an,start,end,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur
Animal01,DMSO,0,0,60,54,18.5,0,175,29.5,606,139,6.7,365,58,5.2
Animal01,DMSO,1,0,60,54,18.5,0,175,29.5,606,139,6.7,365,0,0
Animal02,DMSO,0,0,60,65,7.7,0,291,25.9,698.8,288,19.8,1139.7,118,6.6
Animal02,DMSO,1,0,60,65,7.7,0,291,25.9,698.8,288,19.8,1139.7,0,0
Animal03,DMSO,0,0,60,50,7.5,0,251,18.2,423.4,262,16.4,1119.2,195,17.9
Animal03,DMSO,1,0,60,50,7.5,0,251,18.2,423.4,262,16.4,1119.2,0,0
Animal04,DMSO,0,0,60,60,10.2,0,246,26.5,575.4,237,17.5,889.3,61,5.8
Animal04,DMSO,1,0,60,60,10.2,0,246,26.5,575.4,237,17.5,889.3,0,0
Animal05,DMSO,0,0,60,103,24.1,0,196,29.6,472.1,160,6.3,149,1,0
Animal05,DMSO,1,0,60,103,24.1,0,196,29.6,472.1,160,6.3,149,0,0
Animal06,DMSO,0,0,60,82,16.2,0,104,42.5,665.4,25,1.2,47.1,1,0.1
Animal06,DMSO,1,0,60,82,16.2,0,104,42.5,665.4,25,1.2,47.1,0,0
Animal07,DMSO,0,0,60,14,0.9,0,393,33,1046.2,388,25.1,1134.8,15,0.9
Animal07,DMSO,1,0,60,14,0.9,0,393,33,1046.2,388,25.1,1134.8,0,0
Animal08,DMSO,0,0,60,69,8.4,0,329,27.8,702.8,355,23.7,799.3,2,0.1
Animal08,DMSO,1,0,60,69,8.4,0,329,27.8,702.8,355,23.7,799.3,0,0
Animal09,DMSO,0,0,60,28,1.3,0,385,22.3,648,343,17.2,634.1,301,19.1
Animal09,DMSO,1,0,60,28,1.3,0,385,22.3,648,343,17.2,634.1,0,0
Animal10,DMSO,0,0,60,69,8.5,0,264,22.6,603,284,17.9,1002.5,156,11
Animal10,DMSO,1,0,60,69,8.5,0,264,22.6,603,284,17.9,1002.5,0,0
Animal11,DMSO,0,0,60,85,8.5,0,342,26.3,767.3,313,19.1,797.7,122,6.1
Animal11,DMSO,1,0,60,85,8.5,0,342,26.3,767.3,313,19.1,797.7,0,0
Animal12,DMSO,0,0,60,14,1.2,0,378,22.3,861.4,364,22.3,1506.8,267,14.2
Animal12,DMSO,1,0,60,14,1.2,0,378,22.3,861.4,364,22.3,1506.8,0,0
Animal13,PFOS 0.1,0,0,60,45,10.9,0,221,24.1,498.5,205,19.8,1275.2,49,5.3
Animal13,PFOS 0.1,1,0,60,45,10.9,0,221,24.1,498.5,205,19.8,1275.2,0,0
Animal14,PFOS 0.1,0,0,60,42,3.8,0,350,32.9,1015.1,353,22.3,1173.7,30,1
Animal14,PFOS 0.1,1,0,60,42,3.8,0,350,32.9,1015.1,353,22.3,1173.7,0,0
Animal15,PFOS 0.1,0,0,60,54,6,0,363,33.7,722.4,206,9.2,341.3,265,11.1
Animal15,PFOS 0.1,1,0,60,54,6,0,363,33.7,722.4,206,9.2,341.3,0,0
Animal16,PFOS 0.1,0,0,60,71,15.7,0,237,33.7,681,205,10.3,359.4,3,0.2
Animal16,PFOS 0.1,1,0,60,71,15.7,0,237,33.7,681,205,10.3,359.4,0,0
Animal17,PFOS 0.1,0,0,60,55,7.2,0,242,27.3,542.8,239,22.7,1358.8,43,2.7
Animal17,PFOS 0.1,1,0,60,55,7.2,0,242,27.3,542.8,239,22.7,1358.8,0,0
Animal18,PFOS 0.1,0,0,60,35,55.8,0,23,3,37.6,22,0.7,15.6,14,0.5
Animal18,PFOS 0.1,1,0,60,35,55.8,0,23,3,37.6,22,0.7,15.6,0,0
Animal19,PFOS 0.1,0,0,60,75,10.8,0,197,41.2,744.4,142,7.6,303.2,7,0.4
Animal19,PFOS 0.1,1,0,60,75,10.8,0,197,41.2,744.4,142,7.6,303.2,0,0
Animal20,PFOS 0.1,0,0,60,23,1.9,0,390,30.5,921.4,387,26.2,1125.3,23,1.3
Animal20,PFOS 0.1,1,0,60,23,1.9,0,390,30.5,921.4,387,26.2,1125.3,0,0
Animal21,PFOS 0.1,0,0,60,67,9,0,278,40.9,780.2,231,9.8,317,9,0.3
Animal21,PFOS 0.1,1,0,60,67,9,0,278,40.9,780.2,231,9.8,317,0,0
Animal22,PFOS 0.1,0,0,60,38,3.4,0,357,34.7,889,360,19.6,775.6,32,2.4
Animal22,PFOS 0.1,1,0,60,38,3.4,0,357,34.7,889,360,19.6,775.6,0,0
Animal23,PFOS 0.1,0,0,60,69,8.2,0,156,48.4,821,89,3.4,89.2,0,0
Animal23,PFOS 0.1,1,0,60,69,8.2,0,156,48.4,821,89,3.4,89.2,0,0
Animal24,PFOS 0.1,0,0,60,91,17,0,167,37.5,614.4,108,4.9,191.1,8,0.5
Animal24,PFOS 0.1,1,0,60,91,17,0,167,37.5,614.4,108,4.9,191.1,0,0
Animal25,PFOS 1,0,0,60,103,24.1,0,113,35.5,514.5,11,0.4,11.4,0,0
Animal25,PFOS 1,1,0,60,103,24.1,0,113,35.5,514.5,11,0.4,11.4,0,0
Animal26,PFOS 1,0,0,60,105,23.9,0,126,33.9,498.2,42,2,63,4,0.2
Animal26,PFOS 1,1,0,60,105,23.9,0,126,33.9,498.2,42,2,63,0,0
Animal27,PFOS 1,0,0,60,66,31.3,0,109,26,424.9,47,2.5,121.5,3,0.1
Animal27,PFOS 1,1,0,60,66,31.3,0,109,26,424.9,47,2.5,121.5,0,0
Animal28,PFOS 1,0,0,60,71,27.8,0,80,31.6,479.3,9,0.5,17.9,1,0
Animal28,PFOS 1,1,0,60,71,27.8,0,80,31.6,479.3,9,0.5,17.9,0,0
Animal29,PFOS 1,0,0,60,105,16,0,230,35.3,612.1,207,8.6,234.3,2,0.1
Animal29,PFOS 1,1,0,60,105,16,0,230,35.3,612.1,207,8.6,234.3,0,0
Animal30,PFOS 1,0,0,60,53,6.8,0,210,46.6,909.8,172,6.5,214.2,2,0.1
Animal30,PFOS 1,1,0,60,53,6.8,0,210,46.6,909.8,172,6.5,214.2,0,0
Animal31,PFOS 1,0,0,60,67,10.9,0,264,33.3,691.4,245,14.7,677.8,17,1.1
Animal31,PFOS 1,1,0,60,67,10.9,0,264,33.3,691.4,245,14.7,677.8,0,0
Animal32,PFOS 1,0,0,60,88,37,0,117,21,304.6,46,1.7,43,1,0.2
Animal32,PFOS 1,1,0,60,88,37,0,117,21,304.6,46,1.7,43,0,0
Animal33,PFOS 1,0,0,60,41,4,0,315,43.6,975,280,12.2,445.2,5,0.2
Animal33,PFOS 1,1,0,60,41,4,0,315,43.6,975,280,12.2,445.2,0,0
Animal34,PFOS 1,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal34,PFOS 1,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal35,PFOS 1,0,0,60,57,39.3,0,124,15.6,282.8,88,5.1,155.2,1,0
Animal35,PFOS 1,1,0,60,57,39.3,0,124,15.6,282.8,88,5.1,155.2,0,0
Animal36,PFOS 1,0,0,60,26,12.4,0,321,29.9,818.5,323,17.1,691.2,13,0.5
Animal36,PFOS 1,1,0,60,26,12.4,0,321,29.9,818.5,323,17.1,691.2,0,0
Animal37,OBS 0.1,0,0,60,80,9.8,0,94,48.5,748.9,19,1.5,70.1,3,0.1
Animal37,OBS 0.1,1,0,60,80,9.8,0,94,48.5,748.9,19,1.5,70.1,0,0
Animal38,OBS 0.1,0,0,60,53,37.9,0,72,15.8,244.9,46,4.5,392.3,15,1.8
Animal38,OBS 0.1,1,0,60,53,37.9,0,72,15.8,244.9,46,4.5,392.3,0,0
Animal39,OBS 0.1,0,0,60,11,1,0,433,32.8,1081.7,429,26,1107.1,2,0.2
Animal39,OBS 0.1,1,0,60,11,1,0,433,32.8,1081.7,429,26,1107.1,0,0
Animal40,OBS 0.1,0,0,60,57,8.9,0,201,44.8,840.6,162,6.3,165.4,0,0
Animal40,OBS 0.1,1,0,60,57,8.9,0,201,44.8,840.6,162,6.3,165.4,0,0
Animal41,OBS 0.1,0,0,60,68,9.4,0,247,33.5,673.3,212,15.7,623.8,26,1.4
