Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,48.26334457217951,167.18912988443702,672.4833333333333,656.7,12
F53B,0,2,90.86877689778261,314.778676817201,625.9083333333333,678.7,12
F53B,0,3,82.88421045151917,287.1193272945251,605.8583333333333,593.25,12
F53B,0,4,84.06260514994739,291.20140627262003,538.4416666666666,524.5,12
F53B,0,5,104.607022911582,362.3693570227633,594.9909090909091,531.9,12
F53B,0,6,116.79558264335172,404.59176647578977,598.2333333333333,471,12
F53B,0,7,85.60056455296142,296.52905392461724,576.3625,573,12
F53B,0,8,64.43529549521408,223.21041119684955,435.61,440.20000000000005,12
F53B,0,9,70.81733047987828,245.31842889509048,460.64,438.65,12
F53B,0,10,63.96287037834557,221.57388258647373,452.51,448.7,12
F53B,0,11,54.680410042575964,189.41849674488208,473.3909090909091,418.7,12
F53B,0,12,66.585681018269,230.65956516043295,556.5666666666667,476.3,12
F53B,0,13,72.12246519025156,249.83954815326692,510.0625,500.5,12
F53B,0,14,81.94213986536042,283.8558990554388,502.15,494.6,12
F53B,0,15,70.76362648517481,245.13239280029885,479.3,406.6,12
F53B,0,16,69.7640634965851,241.66980503709328,572.6333333333333,519.7,12
F53B,0,17,91.31414777203659,316.32148678203953,559.85,598.45,12
F53B,0,18,99.7773868001496,345.63900676862266,564.64,594.5,12
F53B,0,19,82.62407543967984,286.2181931798586,574.2624999999999,657.2,12
F53B,0,20,91.4764038444749,316.883558304639,604.7428571428571,638.3,12
F53B,0,21,28.296764391004142,98.02286723004994,501.975,537.05,12
F53B,0,22,22.686014414171574,78.58665917317012,514.76,518.1,12
F53B,0,23,20.180447868926905,69.90712205695294,492.22857142857146,475.5,12
F53B,0,24,29.667302695161712,102.77055118309035,515.9571428571428,531.7,12
F53B,0,25,22.404109600341783,77.61011225226724,537.2428571428571,529.2,12
F53B,0,26,38.72597313651873,134.15070608999582,572.5777777777778,605.8,12
F53B,0,27,18.477778374328278,64.00890191066806,509.74285714285713,494.4,12
F53B,0,28,53.50787693358236,185.35672290821483,487.8454545454546,447.8,12
F53B,0,29,70.64226042768829,244.71196844453686,420,468.6,12
F53B,0,30,53.46530013431498,185.2092325491053,415.1625,444.2,12
F53B,0,31,36.7858698717622,127.42999123701871,500.6333333333333,476.9,12
F53B,0,32,53.50814164426029,185.3576398929018,516.5333333333333,461.25,12
F53B,0,33,27.62942272288728,95.7111278796776,534.6,542.3,12
F53B,0,34,29.129000440568966,100.90581747352331,552.1,578.5,12
F53B,0,35,30.17065351187033,104.51420956023158,569.6999999999999,536,12
F53B,0,36,39.36307876293431,136.35770471947538,647.6181818181818,631.3,12
F53B,0,37,78.13465821781533,270.6663957305705,570.7555555555556,592.1,12
F53B,0,38,84.3359956485784,292.1484587404911,584.6777777777778,548.2,12
F53B,0,39,101.62131206009308,352.02655123978616,529.1555555555556,639.3,12
F53B,0,40,94.27886215098721,326.5915586505845,501.1272727272727,492.3,12
F53B,0,41,62.1340915547442,215.2388069099065,430.70000000000005,483.6,12
F53B,0,42,44.785397545777506,155.14116797291427,449.12,501.6,12
F53B,0,43,15.661179890275049,54.251918552864716,535.0666666666667,521.45,12
F53B,0,44,23.210242184473323,80.40263743897248,508.3875,498,12
F53B,0,45,27.07331023321912,93.78469770601986,598.9571428571429,598.8,12
F53B,0,46,48.00225704920741,166.28469617441704,592.1727272727272,541.3,12
F53B,0,47,61.02002825699812,211.3795784408186,528.5727272727273,542.2,12
F53B,0,48,83.25442430685992,288.40178570875736,573.8666666666667,561.8,12
F53B,0,49,77.34383160302467,267.92689197698024,558.4777777777778,562.2,12
F53B,0,50,70.61623042898849,244.62179788399888,590.78,618.85,12
F53B,0.1,1,54.41036526696774,188.48303420153812,752.4727272727273,794.8,12
F53B,0.1,2,61.44959459529352,212.8676398871165,777.09,842.1500000000001,12
F53B,0.1,3,49.321775877978844,170.85564348036885,779.4909090909091,820.9,12
