Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,17.455185829402996,234.1858924466169,541.3538461538461,542.2,180
F53B,Light,0.1,16.973434253726374,227.72251681773355,666.337356321839,671.3,180
F53B,Light,1,18.66215912233694,250.37913842677932,630.6779069767442,670.15,180
F53B,Dark,0,8.489038227321972,113.89239923931746,519.4709677419355,518.1,180
F53B,Dark,0.1,5.469681748606418,73.3834812310432,532.233908045977,525.4000000000001,180
F53B,Dark,1,6.341442825517268,85.0793833997097,518.7933333333333,511.7,180
OBS,Light,0,17.455185829402996,234.1858924466169,541.3538461538461,542.2,180
OBS,Light,0.1,14.640146541311882,196.41817720159082,631.1333333333333,633.8,180
OBS,Light,1,16.145685782286563,216.61710571526774,617.220987654321,618.9,180
OBS,Dark,0,8.489038227321972,113.89239923931746,519.4709677419355,518.1,180
OBS,Dark,0.1,7.927400256286434,106.35723514743434,520.2441340782123,521.3,180
OBS,Dark,1,5.922654433991799,79.46074752987722,505.99140625,493.05,180
PFOS,Light,0,17.455185829402996,234.1858924466169,541.3538461538461,542.2,180
PFOS,Light,0.1,21.712890963447737,291.3090010938603,574.6842767295598,613.4,180
PFOS,Light,1,20.684035722150945,277.5054595425808,631.1103658536585,678.95,180
PFOS,Dark,0,8.489038227321972,113.89239923931746,519.4709677419355,518.1,180
PFOS,Dark,0.1,10.675167915248151,143.2224067783175,562.910067114094,570.7,180
PFOS,Dark,1,7.284680484298377,97.73424454354357,567.3327683615819,546.6,180
