Chemical,Dose,se,sd,mean,median,n
F53B,0,10.318836319214018,195.7861534271076,532.7305084745763,522.15,360
F53B,0.1,9.581195128863083,181.79039588230694,599.2856321839081,554.7,360
F53B,1,10.351484521384794,196.40560950932343,575.8976261127597,542.4,360
OBS,0,10.318836319214018,195.7861534271076,532.7305084745763,522.15,360
OBS,0.1,8.818706461253333,167.32319060402375,575.8431754874651,559.9,360
OBS,1,9.42458259393452,178.81888195926535,568.1265517241379,541.1,360
PFOS,0,10.318836319214018,195.7861534271076,532.7305084745763,522.15,360
PFOS,0.1,12.201767802776251,231.5122664236869,568.9883116883117,581.8,360
PFOS,1,10.914072797763625,207.07997153891588,598.0058651026393,579.3,360
