Chemical,Cycle,Measurement,Df,Sum_Sq,Mean_Sq,F_Value,P_value,is_sig
PFOS,Light_1,Dose,2,8516232.783251056,4258116.391625528,17.58764619052713,1.18e-06,TRUE
PFOS,Light_1,Residuals,155,37526797.70516667,242108.37229139786,NA, NA,NA
PFOS,Dark_1,Dose,2,1246558.7155203335,623279.3577601667,5.80820086251338,9.76e-03,TRUE
PFOS,Dark_1,Residuals,136,14594190.983040817,107310.2278164766,NA, NA,NA
PFOS,Light_2,Dose,2,949247.5048644462,474623.7524322231,2.0000908401230975,1.92e-01,FALSE
PFOS,Light_2,Residuals,153,36307067.99180222,237301.09798563545,NA, NA,NA
PFOS,Dark_2,Dose,2,130057.41359519504,65028.70679759752,0.49659570497590244,6.16e-01,FALSE
PFOS,Dark_2,Residuals,140,18332858.823467735,130948.9915961981,NA, NA,NA
PFOS,Light_3,Dose,2,7985161.337972024,3992580.668986012,18.154893249324054,1.18e-06,TRUE
PFOS,Light_3,Residuals,149,32767723.363014817,219917.6064631867,NA, NA,NA
PFOS,Dark_3,Dose,2,87744.05191129589,43872.02595564794,0.48606629841640714,6.16e-01,FALSE
PFOS,Dark_3,Residuals,134,12094752.294512061,90259.3454814333,NA, NA,NA
OBS,Light_1,Dose,2,450541.89646054915,225270.94823027457,0.7317873236412863,5.43e-01,FALSE
OBS,Light_1,Residuals,156,48022515.26995454,307836.6363458624,NA, NA,NA
OBS,Dark_1,Dose,2,695791.3594248457,347895.67971242283,3.568563454287094,5.59e-02,FALSE
OBS,Dark_1,Residuals,128,12478591.896605685,97488.99919223192,NA, NA,NA
OBS,Light_2,Dose,2,3860955.379025594,1930477.689512797,7.46215041447834,2.39e-03,TRUE
OBS,Light_2,Residuals,160,41392415.478888504,258702.59674305315,NA, NA,NA
OBS,Dark_2,Dose,2,445489.2825784492,222744.6412892246,3.0746587265300116,8.12e-02,FALSE
OBS,Dark_2,Residuals,129,9345446.529845791,72445.32193678907,NA, NA,NA
OBS,Light_3,Dose,2,2143097.0017909138,1071548.5008954569,3.813157574015148,4.82e-02,TRUE
OBS,Light_3,Residuals,160,44962149.298945285,281013.433118408,NA, NA,NA
OBS,Dark_3,Dose,2,203773.1465049116,101886.5732524558,1.2405890343165225,3.51e-01,FALSE
OBS,Dark_3,Residuals,134,11005095.513641076,82127.57846000804,NA, NA,NA
F53B,Light_1,Dose,2,7357052.108217437,3678526.0541087184,13.205948657401589,2.29e-05,TRUE
F53B,Light_1,Residuals,154,42896805.60095455,278550.68572048406,NA, NA,NA
F53B,Dark_1,Dose,2,1736456.1112048223,868228.0556024112,8.925019244580167,8.07e-04,TRUE
F53B,Dark_1,Residuals,141,13716514.495392399,97280.24464817304,NA, NA,NA
F53B,Light_2,Dose,2,943142.6325320062,471571.3162660031,1.91508938265119,1.94e-01,FALSE
F53B,Light_2,Residuals,162,39890855.18783163,246239.84683846688,NA, NA,NA
F53B,Dark_2,Dose,2,719767.9037636742,359883.9518818371,4.7506714333328235,2.27e-02,TRUE
F53B,Dark_2,Residuals,142,10757115.469753567,75754.3342940392,NA, NA,NA
F53B,Light_3,Dose,2,6272008.793789166,3136004.396894583,13.362179390095386,2.29e-05,TRUE
F53B,Light_3,Residuals,164,38489583.628246754,234692.58309906558,NA, NA,NA
F53B,Dark_3,Dose,2,402938.8834813309,201469.44174066544,2.914895236348677,8.63e-02,FALSE
F53B,Dark_3,Residuals,140,9676410.147427754,69117.21533876967,NA, NA,NA
PFOS,Light,Dose,2,13101935.823213167,6550967.911606584,26.904699430901758,5.30e-11,TRUE
PFOS,Light,Residuals,463,112734883.0215937,243487.86829717862,NA, NA,NA
PFOS,Dark,Dose,2,503351.0811696701,251675.54058483505,2.266016861182996,1.05e-01,FALSE
PFOS,Dark,Residuals,416,46203109.375202656,111065.16676731408,NA, NA,NA
OBS,Light,Dose,2,3886176.1648460054,1943088.0824230027,6.585259449239733,2.26e-03,TRUE
OBS,Light,Residuals,482,142221952.36909214,295066.29122218286,NA, NA,NA
OBS,Dark,Dose,2,431732.20636726473,215866.10318363237,2.5306857464998593,9.71e-02,FALSE
OBS,Dark,Residuals,397,33863881.788732715,85299.45034945269,NA, NA,NA
F53B,Light,Dose,2,11716405.835221197,5858202.917610599,22.662487395583227,1.17e-09,TRUE
F53B,Light,Residuals,486,125629926.15336786,258497.79043902853,NA, NA,NA
F53B,Dark,Dose,2,2262930.9258894566,1131465.4629447283,13.599847936476362,3.75e-06,TRUE
F53B,Dark,Residuals,429,35691478.748184614,83196.92015893849,NA, NA,NA
PFOS,NA,Dose,2,6211121.713006623,3105560.8565033115,12.969190147623786,8.43e-06,TRUE
PFOS,NA,Residuals,882,211200903.39162615,239456.80656646955,NA, NA,NA
OBS,NA,Dose,2,4163357.0704323296,2081678.5352161648,9.331618770041294,1.46e-04,TRUE
OBS,NA,Residuals,882,196754766.06000835,223077.96605443122,NA, NA,NA
F53B,NA,Dose,2,3841310.3095365297,1920655.1547682649,7.469491309930533,6.06e-04,TRUE
F53B,NA,Residuals,918,236048394.58520833,257133.32743486745,NA, NA,NA
