Chemical,Dose,se,sd,mean,median,n
F53B,0,28.780777718255568,546.0768625242687,844.4516949152543,946.7,360
F53B,0.1,23.022046402562854,436.8126181811059,679.1925287356322,767.1,360
F53B,1,28.718492963412036,544.8950923914041,747.6759643916914,761.6,360
OBS,0,28.780777718255568,546.0768625242687,844.4516949152543,946.7,360
OBS,0.1,22.782999122072738,432.27701493219854,893.4632311977716,961.8,360
OBS,1,23.970673783085342,454.81155722060777,734.0258620689655,816.55,360
PFOS,0,28.780777718255568,546.0768625242687,844.4516949152543,946.7,360
PFOS,0.1,24.57404530031798,466.2597268389678,665.6766233766234,661.65,360
PFOS,1,24.651606881068766,467.73135436354113,647.0131964809384,706.5,360
