Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,47.06107996531854,631.3906433820342,738.3846153846154,618.3,180
F53B,Light,0.1,30.663860933682734,411.3988650018886,402.9867816091954,257.2,180
F53B,Light,1,35.932286015297294,482.08220470301876,393.3843023255814,221.55,180
F53B,Dark,0,23.80678590037384,319.40154959411666,1007.5440860215053,1026.8,180
F53B,Dark,0.1,18.257910145995723,244.9555692811773,955.398275862069,979.95,180
F53B,Dark,1,23.226616887260896,311.6177654835596,1116.9981818181818,1103.9,180
OBS,Light,0,47.06107996531854,631.3906433820342,738.3846153846154,618.3,180
OBS,Light,0.1,36.92278271164368,495.3711123701357,764.3188888888889,783.2,180
OBS,Light,1,37.92759409218867,508.8520716789198,564.3604938271604,413.85,180
OBS,Dark,0,23.80678590037384,319.40154959411666,1007.5440860215053,1026.8,180
OBS,Dark,0.1,23.00117620950185,308.5931614013825,1023.3290502793296,1070.1,180
OBS,Dark,1,18.14613568177542,243.45595748030598,948.75859375,963.45,180
PFOS,Light,0,47.06107996531854,631.3906433820342,738.3846153846154,618.3,180
PFOS,Light,0.1,33.54644599617447,450.0728019058306,429.203144654088,271.6,180
PFOS,Light,1,28.672421324598236,384.68089896789735,339.89573170731705,203.65,180
PFOS,Dark,0,23.80678590037384,319.40154959411666,1007.5440860215053,1026.8,180
PFOS,Dark,0.1,24.778811229401587,332.4426378634625,918.0208053691275,937.6,180
PFOS,Dark,1,25.413768637844786,340.96148543203907,931.574011299435,920,180
