Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,-326.247222222222,-548.511288310405,-103.98315613404,0.006230582200101508,59.90566476435712,464.0272839516792,583.9777777777778,585,60
PFOS,Light_1,1,-579.138333333333,-796.355498507353,-361.921168159313,4.5530784342773245e-7,49.02556052262369,379.7503588852107,331.08666666666664,203.65,60
PFOS,Dark_1,0.1,-253.669727891156,-421.799286072555,-85.5401697097574,0.006125397432836133,38.399445715585166,297.4408275201142,894.8469387755102,924.8,60
PFOS,Dark_1,1,-195.32,-357.491373746722,-33.1486262532778,0.03126813916125282,47.02933925991418,364.28769547357257,953.1966666666667,952.5999999999999,60
PFOS,Light_2,0.1,-97.6332533013206,-314.954212034991,119.68770543235,0.7489491797576234,67.91885530167743,526.097190953736,445.36470588235295,232.2,60
PFOS,Light_2,1,-190.531887755102,-403.045785286726,21.9820097765219,0.14626689536766949,40.75899032835063,315.7177814998623,352.4660714285714,309.55,60
PFOS,Dark_2,0.1,25.3645161290323,-156.379835634072,207.108867892136,0.9981396219452223,48.844270072898496,378.34608909998644,969.9,1011.1500000000001,60
PFOS,Dark_2,1,-42.2104838709677,-219.371686341238,134.950718599303,0.9613632170258657,48.337245095454904,374.41869051248597,902.325,897.6500000000001,60
PFOS,Light_3,0.1,-519.479185185185,-724.981888431514,-313.976481938856,9.739861157598284e-7,34.95822153031116,270.78521959984937,259.1648148148148,168.95,60
PFOS,Light_3,1,-442.402333333333,-653.989911919209,-230.814754747457,5.3416699226538356e-5,59.89296409223822,463.9289049684749,336.2416666666667,169.35000000000002,60
PFOS,Dark_3,0.1,-50.946875,-203.054687593958,101.160937593958,0.8777924442711742,40.355349553543114,312.5911935025028,885.475,854.5999999999999,60
PFOS,Dark_3,1,3.17987938596491,-144.046191390224,150.405950162153,0.9981396219452223,35.677871500815996,276.3596043015772,939.6017543859649,915.3,60
PFOS,Light_1,0,NA,NA,NA,1,82.6085331724694,639.8829464631939,910.225,1059.65,60
PFOS,Dark_1,0,NA,NA,NA,1,38.04077366100707,294.6625657318523,1148.5166666666667,1144.05,60
PFOS,Light_2,0,NA,NA,NA,1,76.7976254918024,594.8718491160498,542.9979591836735,317.7,60
PFOS,Dark_2,0,NA,NA,NA,1,39.166687311822514,303.3838553696039,944.5354838709677,989.7,60
PFOS,Light_3,0,NA,NA,NA,1,79.8930116719454,618.8486073675987,778.644,730.55,60
PFOS,Dark_3,0,NA,NA,NA,1,41.64139027747022,322.5528221151312,936.421875,991,60
