Chemical,Cycle,Dose,se,sd,mean,median,n
F53B,Light,0,0.2909197638233833,3.903098207443615,9.022564102564102,9.036666666666667,180
F53B,Light,0.1,0.2828905708954396,3.795375280295559,11.105622605363985,11.188333333333333,180
F53B,Light,1,0.3110359853722824,4.172985640446322,10.511298449612402,11.169166666666666,180
F53B,Dark,0,0.1414839704553662,1.8982066539886242,8.657849462365592,8.635,180
F53B,Dark,0.1,0.09116136247677364,1.2230580205173869,8.870565134099618,8.756666666666668,180
F53B,Dark,1,0.10569071375862112,1.4179897233284948,8.646555555555556,8.528333333333332,180
OBS,Light,0,0.2909197638233833,3.903098207443615,9.022564102564102,9.036666666666667,180
OBS,Light,0.1,0.24400244235519805,3.2736362866931805,10.518888888888888,10.563333333333333,180
OBS,Light,1,0.2690947630381093,3.610285095254462,10.287016460905349,10.315,180
OBS,Dark,0,0.1414839704553662,1.8982066539886242,8.657849462365592,8.635,180
OBS,Dark,0.1,0.1321233376047739,1.7726205857905721,8.670735567970205,8.688333333333333,180
OBS,Dark,1,0.09871090723319666,1.3243457921646205,8.433190104166666,8.217500000000001,180
PFOS,Light,0,0.2909197638233833,3.903098207443615,9.022564102564102,9.036666666666667,180
PFOS,Light,0.1,0.36188151605746227,4.855150018231004,9.578071278825997,10.223333333333333,180
PFOS,Light,1,0.34473392870251574,4.625090992376347,10.518506097560975,11.315833333333334,180
PFOS,Dark,0,0.1414839704553662,1.8982066539886242,8.657849462365592,8.635,180
PFOS,Dark,0.1,0.17791946525413588,2.3870401129719583,9.381834451901566,9.511666666666667,180
PFOS,Dark,1,0.12141134140497295,1.628904075725726,9.455546139359699,9.110000000000001,180
