Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,2.30503647586981,0.58202346118966,4.02804949054996,0.0387343680176222,0.5213641372818595,4.0384692420048784,10.331172839506173,10.961666666666666,60
PFOS,Light_1,1,2.27161363636364,0.587724696537105,3.95550257619017,0.0387343680176222,0.5333791776803702,4.131537344739762,10.29775,10.736666666666666,60
PFOS,Dark_1,0.1,1.01974716553288,0.132615659096706,1.90687867196905,0.08688562081664397,0.27285983942128567,2.113563227854939,9.575136054421769,9.648333333333333,60
PFOS,Dark_1,1,0.831638888888889,-0.0240544029327157,1.68733218071049,0.11575056054888089,0.19822896449833147,1.5354749564759582,9.387027777777778,8.920833333333334,60
PFOS,Light_2,0.1,-1.66221955448846,-3.88090411714167,0.556465008164743,0.2530075428783247,0.7137968807471881,5.529046863417322,7.7927124183006535,8.38,60
PFOS,Light_2,1,2.12902636054422,-0.0405817000409958,4.29863442112943,0.11575056054888089,0.6135904072063517,4.752850857005655,11.583958333333333,12.854166666666666,60
PFOS,Dark_2,0.1,0.210775434243176,-0.894044162807501,1.31559503129385,0.9444337218540154,0.3541669233725743,2.7433651919989974,9.141474358974358,9.4975,60
PFOS,Dark_2,1,0.499828853046596,-0.577129888325157,1.57678759441835,0.5551115976536504,0.22102814486355496,1.7120766481993377,9.430527777777778,8.976666666666667,60
PFOS,Light_3,0.1,1.03544197530864,-0.904617796276675,2.97550174689396,0.5137153873543469,0.5858235240240184,4.537769504723128,10.511141975308641,10.56,60
PFOS,Light_3,1,0.0757236111111119,-1.92178076667588,2.07322798889811,0.9947351300564782,0.6318633431806627,4.894392410435297,9.551423611111112,10.244166666666665,60
PFOS,Dark_3,0.1,0.9553125,-0.0690763773654171,1.97970137736542,0.12128890935818351,0.29174232523011423,2.259826334000121,9.444895833333334,9.315833333333334,60
PFOS,Dark_3,1,1.06442251461988,0.0729103313243604,2.05593469791541,0.10049993140736935,0.2141355122932234,1.6586865458864957,9.554005847953217,9.231666666666666,60
PFOS,Light_1,0,NA,NA,NA,1,0.38563269704472647,2.9870980268145515,8.026136363636363,8.265833333333333,60
