Chemical,Dose,se,sd,mean,median,n
F53B,0,0.17198060532023363,3.2631025571184598,8.878841807909604,8.7025,360
F53B,0.1,0.15968658548105139,3.0298399313717823,9.9880938697318,9.245000000000001,360
F53B,1,0.1725247420230799,3.2734268251553904,9.598293768545995,9.04,360
OBS,0,0.17198060532023363,3.2631025571184598,8.878841807909604,8.7025,360
OBS,0.1,0.14697844102088886,2.7887198434003957,9.59738625812442,9.331666666666667,360
OBS,1,0.15707637656557533,2.980314699321089,9.468775862068966,9.018333333333334,360
PFOS,0,0.17198060532023363,3.2631025571184598,8.878841807909604,8.7025,360
PFOS,0.1,0.2033627967129375,3.8585377737281146,9.483138528138529,9.696666666666665,360
PFOS,1,0.18190121329606043,3.4513328589819317,9.966764418377322,9.655,360
