Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0,1,0.8043890762029919,2.7864854980739504,11.208055555555555,10.945,12
F53B,0,2,1.5144796149630435,5.246311280286683,10.431805555555556,11.311666666666667,12
F53B,0,3,1.3814035075253195,4.785322121575418,10.09763888888889,9.8875,12
F53B,0,4,1.4010434191657897,4.853356771210334,8.974027777777778,8.741666666666667,12
F53B,0,5,1.7434503818597002,6.039489283712722,9.916515151515151,8.865,12
F53B,0,6,1.946593044055862,6.74319610792983,9.970555555555556,7.85,12
F53B,0,7,1.4266760758826902,4.942150898743621,9.606041666666666,9.55,12
F53B,0,8,1.0739215915869014,3.7201735199474926,7.260166666666667,7.336666666666667,12
F53B,0,9,1.1802888413313046,4.088640481584841,7.677333333333333,7.310833333333333,12
F53B,0,10,1.0660478396390929,3.6928980431078955,7.541833333333333,7.4783333333333335,12
F53B,0,11,0.9113401673762661,3.156974945748035,7.889848484848485,6.9783333333333335,12
F53B,0,12,1.1097613503044832,3.8443260860072157,9.276111111111112,7.9383333333333335,12
F53B,0,13,1.2020410865041926,4.163992469221115,8.501041666666666,8.341666666666667,12
F53B,0,14,1.3657023310893401,4.73093165092398,8.369166666666667,8.243333333333332,12
F53B,0,15,1.1793937747529135,4.085539880004981,7.988333333333333,6.776666666666667,12
F53B,0,16,1.1627343916097517,4.027830083951555,9.543888888888889,8.661666666666667,12
F53B,0,17,1.5219024628672766,5.272024779700659,9.330833333333333,9.974166666666667,12
F53B,0,18,1.66295644666916,5.760650112810378,9.410666666666666,9.908333333333333,12
F53B,0,19,1.377067923994664,4.77030321966431,9.571041666666666,10.953333333333333,12
F53B,0,20,1.524606730741248,5.281392638410649,10.07904761904762,10.638333333333332,12
F53B,0,21,0.47161273985006896,1.6337144538341655,8.36625,8.950833333333334,12
F53B,0,22,0.3781002402361929,1.3097776528861687,8.579333333333333,8.635,12
F53B,0,23,0.33634079781544846,1.1651187009492159,8.203809523809523,7.925,12
F53B,0,24,0.49445504491936193,1.7128425197181725,8.599285714285713,8.861666666666668,12
F53B,0,25,0.37340182667236316,1.293501870871121,8.95404761904762,8.82,12
F53B,0,26,0.6454328856086455,2.2358451014999305,9.542962962962962,10.096666666666666,12
F53B,0,27,0.3079629729054712,1.0668150318444674,8.495714285714286,8.24,12
F53B,0,28,0.8917979488930391,3.0892787151369134,8.130757575757576,7.463333333333334,12
F53B,0,29,1.177371007128138,4.078532807408948,7,7.8100000000000005,12
F53B,0,30,0.8910883355719164,3.0868205424850887,6.919375,7.403333333333333,12
F53B,0,31,0.6130978311960368,2.1238331872836453,8.34388888888889,7.948333333333332,12
F53B,0,32,0.8918023607376714,3.08929399821503,8.608888888888888,7.6875,12
F53B,0,33,0.46049037871478815,1.5951854646612937,8.91,9.038333333333334,12
F53B,0,34,0.4854833406761494,1.6817636245587217,9.201666666666666,9.641666666666666,12
F53B,0,35,0.5028442251978389,1.7419034926705264,9.495,8.933333333333334,12
F53B,0,36,0.6560513127155718,2.2726284119912563,10.793636363636363,10.521666666666667,12
F53B,0,37,1.3022443036302556,4.511106595509508,9.512592592592593,9.868333333333334,12
F53B,0,38,1.405599927476307,4.869140979008185,9.74462962962963,9.136666666666667,12
F53B,0,39,1.6936885343348844,5.867109187329769,8.81925925925926,10.655,12
F53B,0,40,1.5713143691831202,5.443192644176408,8.352121212121212,8.205,12
F53B,0,41,1.03556819257907,3.5873134484984415,7.178333333333334,8.06,12
F53B,0,42,0.746423292429625,2.5856861328819045,7.485333333333333,8.360000000000001,12
F53B,0,43,0.2610196648379176,0.9041986425477456,8.917777777777777,8.690833333333334,12
F53B,0,44,0.3868373697412221,1.3400439573162082,8.473125,8.299999999999999,12
F53B,0,45,0.4512218372203187,1.563078295100331,9.982619047619048,9.979999999999999,12
F53B,0,46,0.8000376174867901,2.7714116029069507,9.869545454545454,9.0216666666666665,12
F53B,0,47,1.0170004709499687,3.5229929740136434,8.809545454545454,9.036666666666667,12
F53B,0,48,1.3875737384476652,4.806696428479289,9.564444444444444,9.363333333333333,12
F53B,0,49,1.289063860050411,4.465448199616337,9.307962962962963,9.370000000000001,12
F53B,0,50,1.1769371738164751,4.077029964733315,9.846333333333334,10.314166666666669,12
F53B,0.1,1,0.9068394211161289,3.1413839033589683,12.541212121212121,13.246666666666666,12
F53B,0.1,2,1.0241599099215586,3.547793998118608,12.9515,14.035833333333333,12
F53B,0.1,3,0.822029597966314,2.8475940580061474,12.991515151515152,13.681666666666667,12
F53B,0.1,4,0.9134123569551619,3.1641532210151593,13.130454545454546,13.903333333333334,12
F53B,0.1,5,0.8946869150300154,3.099286387398091,12.131666666666668,13.536666666666667,12
F53B,0.1,6,1.2487836758990403,4.3259135486395275,10.80151515151515,10.81,12
F53B,0.1,7,1.4132767954314722,4.895734429690872,9.80121212121212,9.553333333333335,12
F53B,0.1,8,1.4301436584617586,4.954162957156395,10.317878787878788,11.57,12
F53B,0.1,9,1.0945061095020776,3.791480381704287,9.982272727272727,10.868333333333334,12
F53B,0.1,10,1.3883114957229084,4.809252094648039,8.570833333333333,8.586666666666666,12
F53B,0.1,11,1.5327518220991123,5.309608062538871,10.351666666666667,11.441666666666666,12
F53B,0.1,12,1.4989163383571278,5.192398508659295,10.857121212121212,12.516666666666667,12
F53B,0.1,13,1.261274966550035,4.369184648758793,9.958787878787879,10.303333333333335,12
F53B,0.1,14,1.25994345612264,4.364572161336682,10.118939393939394,10.861666666666668,12
F53B,0.1,15,1.3055752389446786,4.522645293912121,10.141969696969698,10.683333333333334,12
F53B,0.1,16,1.5651681137436437,5.421901390781469,9.773666666666667,8.405833333333334,12
F53B,0.1,17,1.4839919651998719,5.140698963500326,10.1345,10.474166666666665,12
F53B,0.1,18,1.6290187257195223,5.643086398854644,8.7505,8.39,12
F53B,0.1,19,1.4340744222853983,4.96777952246659,6.470454545454546,6.508333333333334,12
F53B,0.1,20,1.3948004847489452,4.831730612013744,5.6410606060606066,4.0216666666666665,12
F53B,0.1,21,0.3904303212974627,1.352490306605293,8.346527777777778,8.604166666666666,12
F53B,0.1,22,0.38539858679952466,1.3350598670040414,8.246666666666666,8.105,12
F53B,0.1,23,0.3896556690259241,1.3498068324202859,9.193939393939393,8.938333333333333,12
F53B,0.1,24,0.26416013106765196,0.915077536686454,8.835138888888888,8.7625,12
F53B,0.1,25,0.3953391829615883,1.3694951022244783,8.895555555555555,8.796666666666667,12
F53B,0.1,26,0.855451160330289,2.96336974617162,10.963181818181818,11.18,12
F53B,0.1,27,0.9586813641207688,3.3209696618532205,10.499545454545455,11.058333333333334,12
F53B,0.1,28,0.9809038576466749,3.3979506375687003,10.809242424242424,10.764999999999999,12
F53B,0.1,29,1.089626721908766,3.774577687261413,9.145454545454545,8.996666666666666,12
F53B,0.1,30,1.260083532651411,4.36505740066624,9.101666666666667,8.2283333333333335,12
F53B,0.1,31,0.3219274491988827,1.115189396727027,8.324722222222222,8.4225,12
F53B,0.1,32,0.3213224631903745,1.113093663717818,8.905972222222221,8.622499999999999,12
F53B,0.1,33,0.32631097017485244,1.130374358819874,8.418194444444444,8.256666666666668,12
