Chemical,Cycle,Dose,diff,lwr.ci,upr.ci,pval,se,sd,mean,median,n
PFOS,Light_1,0.1,-0.808922558922557,-7.72230075035111,6.104455632506,0.99255736710125,2.0191493141782897,15.640263334637286,13.80925925925926,7.199999999999999,60
PFOS,Light_1,1,2.89015151515152,-3.8662461290912,9.64654915939423,0.8826257628510998,1.9005891023495498,14.721899882766222,17.508333333333333,10.95,60
PFOS,Dark_1,0.1,0.0819047619047613,-1.8295470571001,1.99335658090962,0.99255736710125,0.5295307146689205,4.101727278436082,8.728571428571428,8.7,60
PFOS,Dark_1,1,1.85666666666667,0.0129529812703097,3.70038035206302,0.1926602295633657,0.4994910780983096,3.869041254107883,10.503333333333334,9.9,60
PFOS,Light_2,0.1,9.23769507803121,1.30051634210714,17.1748738139553,0.1926602295633657,2.6744227891083265,20.71598984586828,24.876470588235293,17.2,60
PFOS,Light_2,1,-1.13520408163265,-8.89681528749658,6.62640712423128,0.99255736710125,1.859820721704949,14.406109364189453,14.503571428571428,8.7,60
PFOS,Dark_2,0.1,0.362220843672455,-2.46737470626716,3.19181639361207,0.99255736710125,1.0010955223387308,7.75445257196144,9.85576923076923,7.55,60
PFOS,Dark_2,1,1.04311827956989,-1.71512177173715,3.80135833087693,0.8826257628510998,0.5048911426370747,3.910869974162048,10.536666666666667,9.3,60
PFOS,Light_3,0.1,3.11133333333333,-3.65748180580974,9.8801484724764,0.8826257628510998,1.9324439507115099,14.968646477169889,17.433333333333334,11.85,60
PFOS,Light_3,1,7.16341666666666,0.194178877760431,14.1326544555729,0.1926602295633657,2.221934480115098,17.21103047569962,21.485416666666666,14,60
PFOS,Dark_3,0.1,-2.27291666666667,-5.35661733094231,0.810783997608982,0.41757680266332053,0.6575785128720498,5.093581258354577,9.739583333333334,8.850000000000001,60
PFOS,Dark_3,1,-2.51776315789474,-5.50249566116959,0.466969345380121,0.326170948408411,0.3289632076387113,2.5481380493994026,9.494736842105263,9.3,60
PFOS,Light_1,0,NA,NA,NA,1,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
PFOS,Dark_1,0,NA,NA,NA,1,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
PFOS,Light_2,0,NA,NA,NA,1,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
PFOS,Dark_2,0,NA,NA,NA,1,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
PFOS,Light_3,0,NA,NA,NA,1,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
PFOS,Dark_3,0,NA,NA,NA,1,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
OBS,Light_1,0.1,-4.09818181818182,-9.38244004971254,1.1860764133489,0.5888880400790519,1.2163848446916297,9.422076492139555,10.52,7.55,60
OBS,Light_1,1,-3.26727272727273,-8.65219254151932,2.11764708697387,0.5888880400790519,1.4239028107163356,11.0295037450446,11.350909090909092,8.3,60
OBS,Dark_1,0.1,1.88666666666667,-0.282214661127632,4.05554799446097,0.5761871952538624,0.4957142120593929,3.8397857755687212,10.533333333333333,9.45,60
OBS,Dark_1,1,3.41430894308943,1.0839253911494,5.74469249502947,0.03333396334784977,0.7580560558031559,5.871876959234607,12.060975609756097,10.8,60
OBS,Light_2,0.1,-3.05210884353742,-9.14845094430647,3.04423325723164,0.7301302716483935,1.717188719917434,13.30128662907091,12.586666666666666,7.550000000000001,60
OBS,Light_2,1,-1.05544217687075,-7.3021822947077,5.1912979409662,0.9687376068293285,1.411544383705242,10.933775781046029,14.583333333333334,10.7,60
OBS,Dark_2,0.1,0.276451612903225,-1.19874246303319,1.75164568883964,0.9687376068293285,0.3767411555764577,2.9182244427571167,9.77,9.25,60
OBS,Dark_2,1,-0.142328874901652,-1.72969975332557,1.44504200352227,0.9687376068293285,0.27873407205942596,2.1590648382134696,9.351219512195122,8.8,60
OBS,Light_3,0.1,-3.33533333333333,-8.8044718819064,2.13380521523973,0.5888880400790519,1.2131167932433233,9.396762274471875,10.986666666666666,8.7,60
OBS,Light_3,1,2.43649056603773,-3.19442331840312,8.06740445047859,0.7537318745946233,1.905401286831902,14.759174903484276,16.758490566037736,10,60
OBS,Dark_3,0.1,-1.2989406779661,-4.58069037033488,1.98280901440268,0.7537318745946233,0.8082706728662276,6.260837710477525,10.713559322033898,9.4,60
OBS,Dark_3,1,-2.30815217391304,-5.74910840446745,1.13280405664136,0.5888880400790519,0.39476159257942683,3.0578101475648753,9.704347826086957,9,60
OBS,Light_1,0,NA,NA,NA,1,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
OBS,Dark_1,0,NA,NA,NA,1,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
OBS,Light_2,0,NA,NA,NA,1,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
OBS,Dark_2,0,NA,NA,NA,1,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
OBS,Light_3,0,NA,NA,NA,1,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
OBS,Dark_3,0,NA,NA,NA,1,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
F53B,Light_1,0.1,2.23636363636364,-3.44495773163606,7.91768500436334,0.7694279712693232,1.5131661234549618,11.720934392372607,16.854545454545455,11.9,60
F53B,Light_1,1,-3.46128526645768,-9.0769244112071,2.15435387829174,0.5171655208367625,1.3870582107234977,10.744106700704728,11.156896551724138,8.350000000000001,60
F53B,Dark_1,0.1,3.24485875706215,1.37068427297428,5.11903324115001,0.004463969372336063,0.6089244717315312,4.7167086762287385,11.891525423728813,11.1,60
F53B,Dark_1,1,1.74424242424242,-0.152765484523578,3.64125033300843,0.3013888881303681,0.404139634279429,3.1304521462131696,10.39090909090909,9.8,60
F53B,Light_2,0.1,-1.56544217687075,-8.08599842150588,4.95511406776438,0.8836564792771637,1.6076702915953702,12.452960531082581,14.073333333333334,10.3,60
F53B,Light_2,1,1.18979591836735,-5.43462099949992,7.81421283623462,0.8875654686287338,1.9673558848081292,15.239073155850084,16.82857142857143,10.7,60
F53B,Dark_2,0.1,0.906451612903226,-0.620518165828,2.43342139163445,0.5171655208367625,0.36488070795053384,2.8263538104895796,10.4,10,60
F53B,Dark_2,1,0.431906158357771,-1.11407100260451,1.97788331932005,0.8836564792771637,0.36722363574965955,2.84450205118434,9.925454545454546,9.6,60
F53B,Light_3,0.1,-2.55928813559322,-8.37980221429065,3.26122594310421,0.7672573717079512,1.4688194068806495,11.377426202870023,11.76271186440678,9.2,60
F53B,Light_3,1,5.89524137931034,0.0517557294577875,11.7387270291629,0.2859390133478801,1.9551329024553188,15.14439434166324,20.217241379310344,15.8,60
F53B,Dark_3,0.1,-1.72857142857143,-4.51637400482584,1.05923114768299,0.5171655208367625,0.4024754973585671,3.1175617970525553,10.283928571428572,9.75,60
F53B,Dark_3,1,-2.34522727272727,-5.14223054256287,0.451775997108331,0.333382520966069,0.42812435127790477,3.3162369652103587,9.667272727272728,9.5,60
F53B,Light_1,0,NA,NA,NA,1,2.022582340342966,15.66685544096306,14.618181818181817,6.95,60
F53B,Dark_1,0,NA,NA,NA,1,0.3352599494667908,2.596912401870442,8.6466666666666665,8.55,60
F53B,Light_2,0,NA,NA,NA,1,2.324279781409195,18.003793770648855,15.638775510204082,9.1,60
F53B,Dark_2,0,NA,NA,NA,1,0.5135490400024667,3.9779337587807206,9.493548387096775,8.8,60
F53B,Light_3,0,NA,NA,NA,1,1.8212862502753862,14.10762263198625,14.322000000000001,7.300000000000001,60
F53B,Dark_3,0,NA,NA,NA,1,1.3496186239480865,10.45410090856462,12.0125,9.350000000000001,60
PFOS,Light,0.1,3.72560144258257,-0.468024939345513,7.91922782451066,0.35682903348363615,1.320874064637996,17.72138518948206,18.58993710691824,9.8,180
PFOS,Light,1,2.78200579907897,-1.38124036079465,6.94525195895258,0.47389322814757384,1.1586171005621304,15.544479580503802,17.646341463414632,10.8,180
PFOS,Dark,0.1,-0.63944576748214,-2.17294354414349,0.894052009179209,0.7124494497191856,0.4389001267266891,5.888463112164895,9.447651006711409,8.3,180
PFOS,Dark,1,0.102733734281028,-1.38342038905401,1.58888785761607,0.981175401075751,0.2629152376489075,3.527378062220815,10.189830508474577,9.3,180
PFOS,Light,0,NA,NA,NA,1,1.1853287433153645,15.902853874425329,14.864335664335664,7.4,180
PFOS,Dark,0,NA,NA,NA,1,0.5066004268848073,6.796757951669048,10.087096774193549,8.8,180
OBS,Light,0.1,-3.49989121989122,-6.73314713424308,-0.266635305539361,0.12582352571822852,0.8078393150381484,10.838301739933009,11.364444444444445,7.95,180
OBS,Light,1,-0.666804800138133,-3.97863059530142,2.64502099502515,0.8932556170362261,0.929423914799093,12.46953032042847,14.197530864197532,9.4,180
OBS,Dark,0.1,0.249774734186339,-1.17046438914475,1.67001385751743,0.8932556170362261,0.3387111434585787,4.544286849060391,10.336871508379888,9.4,180
OBS,Dark,1,0.258996975806451,-1.25489430428156,1.77288825589446,0.8932556170362261,0.3078499116530134,4.130239975940656,10.34609375,9.6,180
OBS,Light,0,NA,NA,NA,1,1.1853287433153645,15.902853874425329,14.864335664335664,7.4,180
OBS,Dark,0,NA,NA,NA,1,0.5066004268848073,6.796757951669048,10.087096774193549,8.8,180
F53B,Light,0.1,-0.695370147094286,-4.19796576089343,2.80722546670485,0.9781346621934417,0.8926793614273492,11.976550405575939,14.168965517241379,10.6,180
F53B,Light,1,1.19438526589689,-2.31738458443666,4.70615511623044,0.9781346621934417,1.0641444491522847,14.276995957101462,16.058720930232557,10.7,180
F53B,Dark,0.1,0.781294030404153,-0.453640495097562,2.01622855590587,0.9781346621934417,0.2765774021692017,3.710675233743797,10.868390804597702,10.2,180
F53B,Dark,1,-0.0925513196480949,-1.33916189511375,1.15405925581756,0.9781346621934417,0.23096688271601745,3.098745901825418,9.994545454545454,9.7,180
F53B,Light,0,NA,NA,NA,1,1.1853287433153645,15.902853874425329,14.864335664335664,7.4,180
F53B,Dark,0,NA,NA,NA,1,0.5066004268848073,6.796757951669048,10.087096774193549,8.8,180
PFOS,NA,0.1,1.18542813119084,-1.29398703477773,3.66484329715942,0.45541404182710843,0.7440209179184607,14.116804364589118,14.167207792207792,8.8,360
